,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,CaseNumber,IUCR,Primary Type,Arrest,Domestic,Beat,District,FBI Code,Year,Crime_Date,Crime_Time,Month,Day,DayOT,Crime_Date_Day,Crime_month,CrimeType,Date,code_Crime_Time,code_Date,code_Primary,Labels
244942,244942,244942,244942,HV369163,0486,0486,1,1,311,3,08B,2012,2012-07-06,09:40:00,July,Friday,Morning,6,7,group2,6/7,846,327,51,2
1303863,1303863,1303863,1303863,HZ332100,1320,1320,0,0,1234,12,14,2016,2016-07-01,23:56:00,July,Friday,Evening,1,7,group1,1/7,4589,9,152,1
439409,439409,439409,439409,HW151144,0610,0610,1,0,423,4,05,2013,2013-02-10,06:31:00,February,Sunday,Morning,10,2,group1,10/2,488,16,79,2
1417156,1417156,1417156,1417156,HZ525672,0810,0810,0,0,214,2,06,2016,2016-11-22,15:00:00,November,Tuesday,Afternoon,22,11,group1,22/11,2373,170,83,0
494590,494590,494590,494590,HW240053,0620,0620,0,0,1212,12,05,2013,2013-04-19,09:40:00,April,Friday,Morning,19,4,group1,19/4,846,126,80,2
906825,906825,906825,906825,HX432281,1506,1506,1,0,414,4,16,2014,2014-09-16,22:12:00,September,Tuesday,Evening,16,9,group4,16/9,4369,95,179,1
772880,772880,772880,772880,HX162009,2014,2014,1,0,1512,15,18,2014,2014-02-23,16:05:00,February,Sunday,Afternoon,23,2,group5,23/2,2699,184,241,0
483098,483098,483098,483098,HW221898,1305,1305,0,0,2422,24,14,2013,2013-04-05,22:00:00,April,Friday,Evening,5,4,group1,5/4,4341,312,150,1
672186,672186,672186,672186,HW523363,0560,0560,0,1,2533,25,08A,2013,2013-11-03,15:00:00,November,Sunday,Afternoon,3,11,group2,3/11,2373,266,73,0
1302202,1302202,1302202,1302202,HZ329082,0486,0486,0,1,832,8,08B,2016,2016-06-29,21:00:00,June,Wednesday,Evening,29,6,group2,29/6,4156,260,51,1
741067,741067,741067,741067,HX152537,1330,1330,1,0,1533,15,26,2014,2014-02-15,18:10:00,February,Saturday,Evening,15,2,group1,15/2,3340,76,153,1
315790,315790,315790,315790,HV478955,2027,2027,1,0,513,5,18,2012,2012-09-16,22:04:00,September,Sunday,Evening,16,9,group5,16/9,4349,95,254,1
231423,231423,231423,231423,HV347953,0486,0486,0,0,431,4,08B,2012,2012-06-22,18:00:00,June,Friday,Evening,22,6,group2,22/6,3287,176,51,1
1382364,1382364,1382364,1382364,HZ466026,0910,0910,0,0,531,5,07,2016,2016-10-07,20:00:00,October,Friday,Evening,7,10,group1,7/10,3915,331,97,1
247248,247248,247248,247248,HV371678,0820,0820,0,0,121,1,06,2012,2012-07-07,17:30:00,July,Saturday,Afternoon,7,7,group1,7/7,3127,339,84,1
241438,241438,241438,241438,HV363816,2027,2027,1,0,624,6,18,2012,2012-07-02,19:01:00,July,Monday,Evening,2,7,group5,2/7,3621,141,254,1
770316,770316,770316,770316,HX203922,2092,2092,1,0,1831,18,26,2014,2014-03-30,00:37:00,March,Sunday,Night,30,3,group5,30/3,61,280,269,2
714345,714345,714345,714345,HX103853,1811,1811,1,0,531,5,18,2014,2014-01-04,20:21:00,January,Saturday,Evening,4,1,group5,4/1,4009,294,229,1
1082767,1082767,1082767,1082767,HY359715,0560,0560,0,0,823,8,08A,2015,2015-07-28,20:15:00,July,Tuesday,Evening,28,7,group2,28/7,3978,249,73,1
